"Employers who were issued a negative Labour Market Impact Assessment (LMIA) in 2015, by business location",,
Newfoundland and Labrador,,
Employer,Address,Positions requested
Altamar Atlantic Ltd,"25 Trinity Street, St. John's, NL  A1E 2M3",1
Carol Automobile Ltd.,"55 Avalon Drive, PO Box 304, Labrador City, NL  A2V 2K6",4
Dovre Canada Limited,"5 Hill O'Chips, St. John's, NL  A1C 0A8",1
Golden Phoenix Buffet,"56A Kenmount Road, St. John's, NL  A1B 1W3",2
Happy Times Preschool Ltd.,"52 Bannerman Street, Suite 38, St. John's, NL  A1C 3M6",1
Highlight Restaurant,"77 Elizabeth Drive, Suite 75, Gander, NL  A1V 1J9",1
Jade Garden Restaurant,"93 Elizabeth Drive, Gander, NL  A1V 1J9",1
Marystown Hotel & Conven,"PO Box 487, Marystown, NL  A0E 2M0",2
Peter's Pizza,"41 Waverley Place, Middle Cove, NL  A1K 2B1",3
Pizza Delight,"78 Manitoba Drive, Clarenville, NL  A5A 1K6",1
Provincial Ready Mix,"36 Prince William Drive, Placentia, NL  A0B 2Y0",1
Seadrill Canada Ltd.,"5 Springdale Street, Suite 700, St. John's, NL  A1E 0E4",2
Take the Shot Productions Inc.,"PO Box 6207, STN C, St. John's, NL  A1C 6J9",1
Talon Energy Services,"215 Water Street, Suite 301, St. John's, NL  A1C 6C9",2
Tandoori Bliss Inc,"7 Church Road, Grand Falls-Windsor, NL  A2A 1Z2",2
Uncle Li Restaurant Inc,"3 Coish Place, Clarenville, NL  A5A 0C3",1
Prince Edward Island,,
Employer,Address,Positions requested
Anchor Motel and Suites,"1963 Route 1A, Central Bedeque, PE  C0B 1G0",1
Andrews of Summerside,"317 Pope Road, Summerside, PE  C1N 6G4",4
Atlantic Beef Products Inc.,"95 Train Station Road, Box 40, Albany, PE  C0B 1A0",6
Eastern Exporters Ltd,"677 Route 2, PO Box 418, Souris, PE  C0A 2B0",4
Health PEI,"16 Garfield Street, PO Box 2000, Charlottetown, PE  C1A 7N8",1
PEI Select Tours Inc,"Box 175, North Rustico, PE  C0A 1X0",1
Sam's Family Restaurant,"16 Gamwell Avenue, Charlottetown, PE  C1A 8Y3",1
Nova Scotia,,
Employer,Address,Positions requested
3043177 Nova Scotia Limited(Frontier Technology),"JK-61 Raddall Avenue, Dartmouth, NS  B3B 1T4",1
"Aaron's Canada, ULC","PO Box 730, Halifax, NS  B3J 2V1",1
Allen Farms Limited,"7295 Highway 221, RR 2, Centreville, NS  B0P 1J0",10
AMEC Black & McDonald Ltd,"11 Frazee Avenue, Dartmouth, NS  B3B 1Z4",3
Atlantic Adventure Divers,"3139 Veith Street, Halifax, NS  B3K 3G9",1
Baby Panda Asian Cuisine,"467 Kings Street, PO Box 3696, Windsor, NS  B0N 2T0",1
